School Year,Dates,Reason,
2020-2021,5/31/2022,"Memorial Day, schools closed",
2020-2021,6/3/2022,Anniversary Day. Chancellor’s Conference Day for staff development.  Students not in attendance.,
2020-2021,6/8/2022,"Clerical Day for K–5, K–6, 6–8, and K–12 and D75 schools and programs only; students in these schools do not attend. 
Students in 9–12 and 6–12 schools in Districts 1–32 are in attendance.",
2020-2021,6/25/2022,Last day of school for all students.,
2019-2020,9/5/2019,First Day of School (partial school day for pre-k public school students),
2019-2020,9/12/2019,Parent Teacher Conferences (elementary schools and k–8 schools),
2019-2020,9/18/2019,Parent Teacher Conferences (middle schools),
2019-2020,9/26/2019,"Parent Teacher Conferences (high schools, k–12 and 6–12 schools)",
2019-2020,Sept 30–Oct 1,Rosh Hashanah SCHOOLS ARE CLOSED,
2019-2020,9/19/2019,Yom Kippur SCHOOLS ARE CLOSED,
2019-2020,10/14/2019,Columbus Day SCHOOLS ARE CLOSED,
2019-2020,11/5/2019,"Election Day, students do not attend school",
2019-2020,Nov 6–7,"Parent Teacher Conferences (middle schools, District 75 programs)",
2019-2020,11/11/2019,Veterans Day SCHOOLS ARE CLOSED,
2019-2020,Nov 21–22,"Parent Teacher Conferences (high schools, k–12 and 6–12 schools)",
2019-2020,Nov 28–29,Thanksgiving Recess SCHOOLS ARE CLOSED,
2019-2020,Dec 23–Jan 1,Winter Recess SCHOOLS ARE CLOSED,
2019-2020,1/20/2020,Dr. Martin Luther King Jr. Day SCHOOLS ARE CLOSED,
2019-2020,1/27/2020,"January Clerical Day (high school and 6–12 school students do not attend, unless enrolled in a District 75 program)",
2019-2020,Feb 17–21,Midwinter Recess SCHOOLS ARE CLOSED,
2019-2020,Mar 4–5,Parent Teacher Conferences (elementary schools and k–8 schools),
2019-2020,Mar 12–13,Parent Teacher Conferences (middle schools and District 75 programs),
2019-2020,Mar 19–20,"Parent Teacher Conferences (high schools, k–12 and 6–12 schools)",
2019-2020,Apr 9–17,Cancelled,Spring Recess
2019-2020,5/7/2020,Parent Teacher Conferences (elementary schools and k–8 schools),
2019-2020,5/14/2020,Parent Teacher Conferences (middle schools),
2019-2020,5/21/2020,"Parent Teacher Conferences (high schools, k–12 and 6–12 schools)",
2019-2020,5/25/2020,Memorial Day SCHOOLS ARE CLOSED,
2019-2020,6/4/2020,"CANCELLED Anniversary Day/Chancellor’s Conference Day for Staff Development, students do not attend school",
2019-2020,6/9/2020,"CANCELLED June Clerical Day for Lower Grades, elementary school, middle school and District 75 students do not attend",
2019-2020,6/26/2020,Last Day of School,
2018-2019,9/10/18,Rosh Hashanah (schools closed),
2018-2019,9/11/18,Rosh Hashanah (schools closed),
2018-2019,9/19/18,Yom Kippur (schools closed),
2018-2019,10/8/2018,Columbus Day Observed (schools closed),
2018-2019,11/6/2018,Election Day (students do not attend school),
2018-2019,11/12/2018,Veterans Day Observed (schools closed),
2018-2019,11/22/2018,Thanksgiving Recess (schools closed),
2018-2019,11/23/2018,Thanksgiving Recess (schools closed),
2018-2019,Dec 24 - Jan 1,Winter Recess (schools closed),
2018-2019,1/21/2019,Dr. Martin Luther King Jr. Day (schools closed),
2018-2019,1/28/2019,"Chancellor's Conference Day for High Schools. High school students do not attend school, except those enrolled at D75 school programs.",
2018-2019,2/5/2019,Lunar New Year (schools closed),
2018-2019,feb 18-22,Midwinter Recess (schools closed),
2018-2019,Apr 19-26,Spring Recess (schools closed),
2018-2019,5/27/2019,Memorial Day (schools closed),
2018-2019,6/4/2019,Eid al-Fitr (schools closed),
2018-2019,6/6/2019,Anniversary Day (students do not attend school),
2018-2019,6/11/2019,"June Clerical Day. Elementary school, middle school, and D75 students do not attend school.",
2017-2018,9/5/17,Teachers report to school. Students will not be in attendance.,
2017-2018,9/6/17,Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,Sept. 21 and Sept. 22,Rosh Hashanah (schools closed),
2017-2018,10/9/2017,Columbus Day observed (schools closed),
2017-2018,11/7/2017,Election Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,Nov. 23 and 24,Thanksgiving Recess (schools closed),
2017-2018,Dec. 25 to Jan. 1,Winter recess (schools closed),
2017-2018,1/15/2018,Dr. Martin Luther King Jr. Day (schools closed),
2017-2018,1/29/2018,High school Chancellor's Conference Day for staff development. (District 75 high school students will still have classes.)*,
2017-2018,Feb. 16 to 23,Midwinter recess (schools closed),
2017-2018,March 30 to April 6,Spring recess (schools closed),
2017-2018,5/28/2018,Memorial Day (schools closed),
2017-2018,6/7/2018,Anniversary Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,6/11/2018,"June Clerical Day for students in elementary school, middle school and District 75 school programs.*",
2017-2018,6/15/2018,Eid al-Fitr (schools closed),
2017-2018,6/22/2018,"Regents Rating Day. In non-District 75 high schools, students  will not be in attendance. All other students will be in  attendance.",
2017-2018,6/26/2018,Last Day For All Students.,
